popularity,explicit,principal_artist_followers,acousticness,year,duration_min,energy
73,FALSE,6107393,0.0417,2021,3.093333333,0.745
73,TRUE,11681190,0.397,2021,2.595616667,0.59
81,TRUE,7487934,0.422,2021,3.835416667,0.86
72,FALSE,160336,0.206,2021,3.470133333,0.772
74,TRUE,79123685,0.128,2021,3.428683333,0.69
72,FALSE,6957293,0.46,2021,2.612433333,0.664
73,FALSE,87997,0.118,2021,3.573416667,0.461
74,TRUE,9663100,0.00265,2021,3.34245,0.414
72,FALSE,6318697,0.176,2021,3.533833333,0.679
74,TRUE,79123685,0.0136,2021,2.969216667,0.594
74,TRUE,244482,0.000357,2021,1.113383333,0.455
75,FALSE,18381,0.0174,2021,3.370433333,0.584
78,FALSE,50572176,0.0558,2021,3.2907,0.618
77,TRUE,1691567,0.0115,2021,2.391333333,0.732
75,FALSE,2349822,0.0372,2021,1.1273,0.58
72,FALSE,574759,0.00516,2021,4.09375,0.884
76,TRUE,21215530,0.104,2021,3.636833333,0.656
77,FALSE,84618954,0.817,2021,4.313533333,0.377
75,FALSE,366277,0.195,2021,2.74285,0.288
73,FALSE,6957293,0.216,2021,2.464883333,0.772
83,FALSE,70651835,0.0215,2021,3.18355,0.825
75,TRUE,21215530,0.127,2021,2.473683333,0.713
73,TRUE,3008520,0.00718,2021,2.25695,0.343
79,FALSE,85510742,0.961,2021,3.912683333,0.159
83,FALSE,50987711,0.578,2021,3.7449,0.366
73,FALSE,6957293,0.723,2021,3.178,0.584
76,TRUE,1660193,0.00575,2021,4.20115,0.611
77,FALSE,84618954,0.00115,2021,3.338,0.733
73,FALSE,12145455,0.0354,2021,3.378916667,0.8
77,FALSE,2349822,0.0027,2021,1.602216667,0.904
84,TRUE,73969517,0.321,2021,3.30135,0.696
78,FALSE,21109339,0.00904,2021,3.777533333,0.545
78,FALSE,5913394,0.253,2021,2.532766667,0.735
72,FALSE,932439,0.176,2021,3.692,0.647
87,FALSE,2730158,0.515,2021,2.46995,0.636
80,FALSE,84618954,0.0623,2021,3.852066667,0.773
82,TRUE,12481109,0.0203,2021,3.533333333,0.704
78,TRUE,7059813,0.415,2021,3.867466667,0.575
80,FALSE,85510742,0.222,2021,3.278833333,0.389
71,FALSE,3065136,0.182,2021,2.911333333,0.846
76,FALSE,142,,2021,2.699983333,
76,FALSE,84618954,0.091,2021,3.950366667,0.701
75,FALSE,84618954,0.0231,2021,3.755466667,0.821
78,TRUE,4697216,0.213,2021,2.689733333,0.413
76,FALSE,27465756,0.388,2021,3.492666667,0.298
74,FALSE,2349822,0.516,2021,1.806216667,0.856
76,TRUE,27308217,0.318,2021,4.57155,0.59
73,FALSE,530,0.738,2021,3.324666667,0.0971
76,TRUE,41883548,0.0904,2021,3.070216667,0.631
75,TRUE,5913394,0.194,2021,3.233216667,0.659
82,TRUE,18237864,0.356,2021,3.749933333,0.694
80,TRUE,85510742,0.0468,2021,2.524066667,0.599
71,TRUE,851239,0.0124,2021,2.606116667,0.561
74,TRUE,79123685,0.0181,2021,3.405766667,0.744
82,TRUE,383480,0.0748,2021,2.205766667,0.572
